Temp,Total MLR,
271.7016567,0.000256317,
274.143,0.000294402,
276.5846633,0.000309761,
279.0329867,0.000331134,
281.4786667,0.000368861,
283.9303333,0.000392679,
286.3829933,0.000432271,
288.8413267,0.000470079,
291.3006567,0.000498372,
293.7626667,0.000539625,
296.2273233,0.000571446,
298.6936633,0.000606896,
301.1619867,0.000639924,
303.6306633,0.000679923,
306.1023233,0.000723042,
308.5759833,0.000763203,
311.0503233,0.000812068,
313.5283267,0.000861913,
316.0053267,0.000906155,
318.4839867,0.000958881,
320.9633167,0.001023993,
323.4433367,0.001085006,
325.92367,0.001163758,
328.4059967,0.001240993,
330.8866633,0.001307889,
333.3683333,0.001403669,
335.8489867,0.001496375,
338.3293233,0.001576722,
340.80966,0.001661893,
343.2883267,0.001745708,
345.7669933,0.001831419,
348.2469933,0.001884488,
350.7256533,0.001907117,
353.2056533,0.001921543,
355.6863267,0.001890318,
358.1676633,0.001794283,
360.6506533,0.001653978,
363.1366567,0.001464619,
365.6259933,0.001215717,
368.1176633,0.000937883,
370.6123233,0.000673617,
373.10932,0.00045066,
375.6066667,0.000292657,
378.10333,0.00021124,
380.5963333,0.000178062,
383.08633,0.000159005,
385.5759967,0.000148816,
388.0593233,0.000141873,
390.5433333,0.00013338,
393.02099,0.000132677,
395.50066,0.000134525,
397.9789933,0.000124911,
400.45599,0.000127225,
402.93167,0.000123638,
405.4056667,0.00011355,
407.8806633,0.00012145,
410.3546633,0.000121539,
412.8299933,0.000120971,
415.3046633,0.000119592,
417.7799967,0.00010404,
420.2516533,9.96E-05,
422.72766,0.000108081,
425.20233,0.000106123,
427.6779967,0.000102052,
430.15399,9.85E-05,
432.63033,9.54E-05,
435.1083267,9.52E-05,
437.5833333,8.86E-05,
440.0623233,8.65E-05,
442.5433333,8.85E-05,
445.04033,8.84E-05,
447.5423333,8.47E-05,
450.0356633,8.34E-05,
452.51667,8.38E-05,
454.9929867,7.81E-05,
457.4669967,7.53E-05,
459.94432,7.73E-05,
462.4209867,7.55E-05,
464.8989967,7.28E-05,
467.3796633,7.01E-05,
469.8576633,6.24E-05,
472.33699,6.39E-05,
474.81733,7.21E-05,
477.2969933,6.49E-05,
479.779,5.79E-05,
482.25999,6.55E-05,
484.7409833,6.50E-05,
487.2233267,6.11E-05,
489.7073233,5.46E-05,
492.19232,5.08E-05,
494.67833,5.59E-05,
497.1663367,5.79E-05,
499.6543233,5.32E-05,
502.1426567,4.87E-05,
504.63332,5.32E-05,
507.124,4.86E-05,
509.6153333,4.61E-05,
512.1083333,4.75E-05,
514.6016433,4.48E-05,
517.0973267,4.79E-05,
519.5910033,4.54E-05,
522.0890067,4.28E-05,
524.5853467,4.62E-05,
527.08333,4.68E-05,
529.58333,4.34E-05,
532.08498,4.72E-05,
534.5893133,4.36E-05,
537.0906567,4.32E-05,
539.5973267,4.09E-05,
542.1026567,3.24E-05,
544.60933,3.95E-05,
547.1146633,3.86E-05,
549.624,3.63E-05,
552.13332,4.49E-05,
554.6420067,4.53E-05,
557.1536667,3.63E-05,
559.66231,3.31E-05,
562.17399,3.46E-05,
564.6843267,3.57E-05,
567.19468,3.23E-05,
569.7046467,3.50E-05,
572.2146367,3.87E-05,
574.7239967,3.23E-05,
577.2313233,3.45E-05,
579.7393167,4.09E-05,
582.2449933,3.64E-05,
584.74931,3.03E-05,
587.2526633,3.10E-05,
589.755,2.86E-05,
592.2556533,2.52E-05,
594.7506667,2.84E-05,
597.2463367,2.67E-05,
599.7406633,2.41E-05,
602.23132,2.64E-05,
604.7209867,2.79E-05,
607.2073333,2.68E-05,
609.6936633,2.67E-05,
612.17765,2.59E-05,
614.66233,2.20E-05,
617.1466633,2.64E-05,
619.63501,3.04E-05,
622.12032,2.42E-05,
624.60498,2.32E-05,
627.0909833,2.38E-05,
629.5793033,2.43E-05,
632.0686633,2.36E-05,
634.558,1.82E-05,
